taxon_name,level_1
abies,Abies
abies_undiff,Abies
acer,Acer
acer_campestre_type,Acer
achillea,Compositae subfam. Asteroideae
achillea_type,Compositae subfam. Asteroideae
aconitum,Aconitum
aconitum_lycoctonum_subsp_septentrionale,Aconitum
acorus,Acorus
adoxa_moschatellina,Adoxa moschatellina
aesculus_hippocastanum,Aesculus
aesculus_type,Aesculus
agrimonia,Agrimonia/Aremonia
agrostemma_githago,Caryophyllaceae (periporate excl. Paronychioideae)
alchemilla,Alchemilla/Aphanes
alchemilla_type,Alchemilla/Aphanes
allium,Liliaceae-type
allium_type,Liliaceae-type
alnus,Alnus
alnus_corroded,Alnus
alnus_glutinosa,Alnus
alnus_glutinosa_a_incana,Alnus
alnus_shrub_pale_shallow_pores,Alnus
alnus_subg_alnobetula,Alnus
alnus_tree_robust_deep_pores,Alnus
amaranthaceae,Chenopodiaceae/Amaranthaceae
ambrosia,Ambrosia/Xanthium
ambrosia_type,Ambrosia/Xanthium
anagallis,Anagallis-type
anagallis_arvensis,Anagallis-type
anagallis_cf_a_arvensis,Anagallis-type
anagallis_cf_a_tenella,Anagallis-type
anchusa,Anchusa arvensis-type
andromeda_polifolia,Ericales (tetrads)
anemone,Ranunculus-type
anemone_nemorosa,Ranunculus-type
anemone_nemorosa_group,Ranunculus-type
anemone_nemorosa_type,Ranunculus-type
anemone_type,Ranunculus-type
angelica_archangelica,Apiaceae
angelica_palustris_type,Apiaceae
angelica_sylvestris_type,Apiaceae
angelica_type,Apiaceae
anthemis,Compositae subfam. Asteroideae
anthemis_type,Compositae subfam. Asteroideae
anthriscus_sylvestris,Apiaceae
anthriscus_sylvestris_type,Apiaceae
anthyllis,Anthyllis
anthyllis_vulneraria,Anthyllis
apiaceae,Apiaceae
apiaceae_cf_pleurospermum,Apiaceae
apiaceae_type,Apiaceae
apiaceae_type_2,Apiaceae
apiaceae_undiff,Apiaceae
apium_type,Apiaceae
arctium,Cynareae
arctium_type,Cynareae
arctostaphylos,Ericales (tetrads)
arctostaphylos_uva_minus_ursi,Ericales (tetrads)
arctous_alpina,Ericales (tetrads)
arenaria,Caryophyllaceae (periporate excl. Paronychioideae)
arenaria_type,Caryophyllaceae (periporate excl. Paronychioideae)
armeria,Plumbaginaceae
armeria_limonium,Plumbaginaceae
armeria_maritima,Plumbaginaceae
artemisia,Artemisia
artemisia_cf_a_norvegica,Artemisia
artemisia_norvegica,Artemisia
artemisia_norvegica_type,Artemisia
artemisia_sp,Artemisia
artemisia_type,Artemisia
artemisia_undiff,Artemisia
artemisia_vulgaris_type,Artemisia
aster,Compositae subfam. Asteroideae
aster_achillea,Compositae subfam. Asteroideae
aster_type,Compositae subfam. Asteroideae
asteraceae,Asteraceae
asteraceae_undiff,Asteraceae
asteroideae,Compositae subfam. Asteroideae
asteroideae_undiff,Compositae subfam. Asteroideae
astragalus,Astragalus-type
astragalus_alpinus,Astragalus-type
astragalus_cf_a_alpinus,Astragalus-type
astragalus_cf_a_glycyphyllos,Astragalus-type
astragalus_frigidus,Astragalus-type
astragalus_frigidus_type,Astragalus-type
astragalus_ononis_type,Astragalus-type
astragalus_oxytropis,Astragalus-type
astragalus_oxytropis_type,Astragalus-type
astragalus_type,Astragalus-type
atriplex_sp,Atriplex
avena,Poaceae
avena_sativa,Poaceae
avena_triticum,Poaceae
avena_triticum_type,Poaceae
avena_type,Poaceae
berula_erecta,Apiaceae
betula,Betula
betula_cf_b_nana,Betula
betula_corroded,Betula
betula_corylus_myrica,Betulaceae
betula_excluding_b_nana,Betula
betula_hybrid,Betula
betula_nana,Betula
betula_nana_type,Betula
betula_pubescens,Betula
betula_sect_apterocaryon,Betula
betula_sect_betula,Betula
betula_tree,Betula
betula_undiff,Betula
bidens,Compositae subfam. Asteroideae
bidens_type,Compositae subfam. Asteroideae
bistorta,Polygonum-type (tricolporate)
bistorta_officinalis,Polygonum-type (tricolporate)
bistorta_officinalis_b_vivipara,Polygonum-type (tricolporate)
bistorta_officinalis_type,Polygonum-type (tricolporate)
bistorta_vivipara,Polygonum-type (tricolporate)
blackstonia,Gentianaceae
boraginaceae,Boraginaceae
brassica_type,Brassicaceae
brassicaceae,Brassicaceae
brassicaceae_undiff,Brassicaceae
buglossoides_arvensis,Boraginaceae
buxus,Buxus
calluna,Ericales (tetrads)
calluna_vulgaris,Ericales (tetrads)
caltha_type,Caltha-type
calystegia,Calystegia
calystegia_sepium,Calystegia
calystegia_type,Calystegia
campanula,Campanulaceae
campanula_jasione,Campanulaceae
campanula_type,Campanulaceae
campanulaceae,Campanulaceae
cannabaceae,Cannabis/Humulus
cannabaceae_cf_cannabis_sativa,Cannabis/Humulus
cannabaceae_type,Cannabis/Humulus
cannabaceae_undiff,Cannabis/Humulus
cannabis,Cannabis/Humulus
cannabis_sativa,Cannabis/Humulus
cannabis_type,Cannabis/Humulus
capsella,Brassicaceae
capsella_type,Brassicaceae
carduus,Cynareae
carex,Cyperaceae
carex_type,Cyperaceae
carpinus,Carpinus betulus
carpinus_betulus,Carpinus betulus
carpinus_corroded,Carpinus betulus
carum_carvi,Apiaceae
carya,Carya
caryophyllaceae,Caryophyllaceae (periporate excl. Paronychioideae)
caryophyllaceae_undiff,Caryophyllaceae (periporate excl. Paronychioideae)
celtis,Celtis
centaurea,Centaurea
centaurea_cf_c_cyanus,Centaurea cyanus-type
centaurea_cyanus,Centaurea cyanus-type
centaurea_cyanus_type,Centaurea cyanus-type
centaurea_jacea,Centaurea nigra-type
centaurea_jacea_type,Centaurea nigra-type
centaurea_nigra_type,Centaurea nigra-type
centaurea_scabiosa,Centaurea scabiosa-type
centaurea_scabiosa_type,Centaurea scabiosa-type
centaurea_sp,Centaurea
cephalanthera_sp,Cephalanthera
cerastium,Caryophyllaceae (periporate excl. Paronychioideae)
cerastium_cerastoides_type,Caryophyllaceae (periporate excl. Paronychioideae)
cerastium_cf_c_arvense,Caryophyllaceae (periporate excl. Paronychioideae)
cerastium_fontanum_type,Caryophyllaceae (periporate excl. Paronychioideae)
cerastium_type,Caryophyllaceae (periporate excl. Paronychioideae)
cf_aethusa_cynapium,Apiaceae
cf_artemisia,Artemisia
cf_avena,Poaceae
cf_avena_sativa,Poaceae
cf_brassicaceae,Brassicaceae
cf_cannabis_sativa,Cannabis/Humulus
cf_carpinus,Carpinus betulus
cf_chrysosplenium,Chrysosplenium
cf_cyperaceae_type,Cyperaceae
cf_dryas,Rosaceae (non-operculate)
cf_empetrum,Ericales (tetrads)
cf_ephedra_fragilis,Ephedra
cf_frangula_alnus,Rhamnaceae
cf_galeopsis,Galeopsis/Ballota-type
cf_gentiana_pneumonanthe,Gentianaceae
cf_helianthemum,Helianthemum
cf_humulus_lupulus,Cannabis/Humulus
cf_hypericum,Hypericum
cf_ilex,Ilex
cf_lamiaceae,Lamiaceae
cf_larix,Larix/Pseudotsuga
cf_limosella_aquatica,delete
cf_lycopsis_arvensis,Anchusa arvensis-type
cf_maianthemum,Liliaceae-type
cf_melampyrum,Melampyrum
cf_mercurialis,Mercurialis
cf_myrica,Corylus/Myrica
cf_myricaria_germanica,Myricaria germanica
cf_oxytropis,Astragalus-type
cf_pedicularis,Pedicularis
cf_peucedanum_type,Apiaceae
cf_pimpinella_major_type,Apiaceae
cf_poterium_sanguisorba,Sanguisorba-type
cf_prunus,Rosaceae (non-operculate)
cf_quercus,Quercus
cf_ranunculus,Ranunculus-type
cf_rhamnus,Rhamnaceae
cf_sambucus,Sambucus
cf_saxifraga_granulata,Saxifraga
cf_saxifraga_stellaris_type,Saxifraga
cf_scutellaria,Galeopsis/Ballota-type
cf_sorbus_aucuparia,Rosaceae (non-operculate)
cf_taxus,Taxus baccata
cf_thalictrum,Thalictrum
cf_urtica,Urticaceae/Moraceae
cf_valeriana,Valerianaceae
chaerophyllum,Apiaceae
chaerophyllum_bulbosum,Apiaceae
