neotoma_names,taxon_name
Abies,abies
Abies undiff.,abies_undiff
Acer,acer
Acer campestre-type,acer_campestre_type
Achillea,achillea
Achillea-type,achillea_type
Aconitum,aconitum
Aconitum lycoctonum subsp. septentrionale,aconitum_lycoctonum_subsp_septentrionale
Acorus,acorus
Adoxa moschatellina,adoxa_moschatellina
Aesculus-type,aesculus_type
Aesculus hippocastanum,aesculus_hippocastanum
Agrimonia,agrimonia
Agrostemma githago,agrostemma_githago
Alchemilla,alchemilla
Alchemilla-type,alchemilla_type
Allium,allium
Allium-type,allium_type
Alnus,alnus
Alnus (corroded),alnus_corroded
"Alnus (shrub, pale shallow pores)",alnus_shrub_pale_shallow_pores
"Alnus (tree, robust deep pores)",alnus_tree_robust_deep_pores
Alnus glutinosa,alnus_glutinosa
Alnus glutinosa/A. incana,alnus_glutinosa_a_incana
Alnus incana,alnus_incana
Alnus subg. Alnobetula,alnus_subg_alnobetula
Alnus viridis,alnus_viridis
Amaranthaceae,amaranthaceae
Ambrosia,ambrosia
Ambrosia-type,ambrosia_type
Anagallis,anagallis
Anagallis arvensis,anagallis_arvensis
Anagallis cf. A. arvensis,anagallis_cf_a_arvensis
Anagallis cf. A. tenella,anagallis_cf_a_tenella
Anchusa,anchusa
Andromeda polifolia,andromeda_polifolia
Anemone,anemone
Anemone-type,anemone_type
Anemone nemorosa,anemone_nemorosa
Anemone nemorosa-type,anemone_nemorosa_type
Anemone nemorosa group,anemone_nemorosa_group
Angelica-type,angelica_type
Angelica archangelica,angelica_archangelica
Angelica archangelica-type,angelica_archangelica_type
Angelica palustris-type,angelica_palustris_type
Angelica sylvestris-type,angelica_sylvestris_type
Anthemis,anthemis
Anthemis-type,anthemis_type
Anthericum,anthericum
Anthriscus sylvestris,anthriscus_sylvestris
Anthriscus sylvestris-type,anthriscus_sylvestris_type
Anthyllis,anthyllis
Anthyllis vulneraria,anthyllis_vulneraria
Apiaceae,apiaceae
Apiaceae-type,apiaceae_type
Apiaceae (type 2),apiaceae_type_2
Apiaceae cf. Pleurospermum,apiaceae_cf_pleurospermum
Apiaceae undiff.,apiaceae_undiff
Apium-type,apium_type
Arctium,arctium
Arctium-type,arctium_type
Arctostaphylos,arctostaphylos
Arctostaphylos uva-ursi,arctostaphylos_uva_minus_ursi
Arctous alpina,arctous_alpina
Arenaria,arenaria
Arenaria-type,arenaria_type
Armeria,armeria
Armeria maritima,armeria_maritima
Armeria/Limonium,armeria_limonium
Artemisia,artemisia
Artemisia-type,artemisia_type
Artemisia cf. A. norvegica,artemisia_cf_a_norvegica
Artemisia norvegica,artemisia_norvegica
Artemisia norvegica-type,artemisia_norvegica_type
Artemisia sp.,artemisia_sp
Artemisia undiff.,artemisia_undiff
Artemisia vulgaris-type,artemisia_vulgaris_type
Aster,aster
Aster-type,aster_type
Aster/Achillea,aster_achillea
Asteraceae,asteraceae
Asteraceae undiff.,asteraceae_undiff
Asteroideae,asteroideae
Asteroideae undiff.,asteroideae_undiff
Astragalus,astragalus
Astragalus-type,astragalus_type
Astragalus alpinus,astragalus_alpinus
Astragalus cf. A. alpinus,astragalus_cf_a_alpinus
Astragalus cf. A. glycyphyllos,astragalus_cf_a_glycyphyllos
Astragalus frigidus,astragalus_frigidus
Astragalus frigidus-type,astragalus_frigidus_type
Astragalus/Ononis-type,astragalus_ononis_type
Astragalus/Oxytropis,astragalus_oxytropis
Astragalus/Oxytropis-type,astragalus_oxytropis_type
Atriplex sp.,atriplex_sp
Atropa-type,atropa_type
Avena,avena
Avena-type,avena_type
