dataset_id,handle,siteid,sitename,long,lat,altitude,depositionalenvironment,region,country,harmonisation_region,n_sample_counts,age_min,age_max,n_chron_control,age_type,curve_name,postbomb_curve_name,source_of_data,data_publicity,doi,wwf_biome
1434,KALSA,1398,Kalsa Mire,27.41146,58.19142,38,Mire,Europe,Estonia,Europe,64,25,8064,12,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/n3173w,Temperate broadleaf and mixed forests
19909,KLOT,13336,Klotjärnen,16.40472,61.82125,235,Natural Lake,Europe,Sweden,Europe,99,378,8403.5,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/6bhj-jv09,Boreal forests/taiga
19913,ABBO,13338,Abborrtjärnen,14.45,63.88333,387,Lacustrine,Europe,Sweden,Europe,96,10,8455.5,7,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/2vzb-bg61,Boreal forests/taiga
20,AKUV,20,Akuvaara,27.67406,69.12326,170,Glacial Origin Lake,Europe,Finland,Europe,25,-12,8260,6,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/n37g69,Boreal forests/taiga
20012,DONVOLD,13381,Donvold,13.58333,68.13333,10,Bog,Europe,Norway,Europe,45,39,8344,7,Radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/057s-wr75,NA
20018,FLAFATTJ,13383,Lake Flåfattjønna,10.39435,62.33017,1115,Lacustrine,Europe,Norway,Europe,58,-30,8464.5,8,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/g7c8-hk59,Tundra
20034,DALMUT,13388,Dalmutladdo,20.71667,69.16667,355,Glacial Origin Lake,Europe,Norway,Europe,57,351.5,8396,8,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/c8mz-0061,Tundra
20046,BRURSKAR,13391,Brurskardtjørni,8.66667,61.41667,1309,Glacial Origin Lake,Europe,Norway,Europe,50,0,8370,7,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/td9p-m745,Tundra
20050,OYKJA,13392,Vestre Øykjamyrtjørn,6,59.81667,570,Glacial Origin Lake,Europe,Norway,Europe,59,-51,8499,12,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/c7eh-we69,Tundra
20279,CAPPESJA,13476,Liten Cap’pesjav’ri,25.36415,71.07382,41,Glacial Origin Lake,Europe,Norway,Europe,46,239.5,8333,15,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/d73q-6954,Tundra
20285,GUNNARS,13478,Over Gunnarsfjorden,28.16545,71.03753,78,Glacial Origin Lake,Europe,Norway,Europe,96,208,8361,20,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/8s7z-k891,NA
20293,KOBBKROK,13481,Over Kobbkrokvatnet,29.29295,70.6989,51,Glacial Origin Lake,Europe,Norway,Europe,51,690,8353,18,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/snyf-b526,NA
21790,HOLT,14040,Holtjärnen,14.92555,60.65141,232,Glacial Origin Lake,Europe,Sweden,Europe,83,-44.5,8342,7,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/bsv3-k317,Boreal forests/taiga
24110,MABO,15711,Mabo Moss,16.05602,58.02114,117,Raised Bog,Europe,Sweden,Europe,88,409.5,8480,17,Calibrated radiocarbon years BP,intcal20,nh_zone_1,Neotoma,open,10.21233/sq7c-9a90,Temperate broadleaf and mixed forests
