dataset_id,handle,siteid,sitename,long,lat,altitude,depositionalenvironment,country,n_sample_counts,age_min,age_max,n_chron_control,doi
12,AGE,12,Ageröds Mosse,13.41701,55.92856,58,Raised Bog,Sweden,103,-8,8481.5,22,10.21233/znex-sp94
20,AKUV,20,Akuvaara,27.67406,69.12326,170,Glacial Origin Lake,Finland,25,-12,8265.5,6,10.21233/n37g69
317,BRUVAT,310,Bruvatnet [Rovvejávri],28.39012,70.17739,119,Glacial Origin Lake,Norway,25,365.5,8331.5,6,10.21233/n3870x
1434,KALSA,1398,Kalsa Mire,27.41146,58.19142,38,Mire,Estonia,64,30,8064.999999999999,12,10.21233/n3173w
1438,KANSJON,1401,Kansjön,14.53458,57.64055,308,Glacial Scour Lake,Sweden,22,178.5,8159.5,13,10.21233/n3h737
4011,DAGSMOO,3077,Dags Mosse,14.70652,58.32288,96,Raised Bog,Sweden,124,10,8417.5,21,10.21233/2c89-ct63
4041,FLAATEVA,3106,Flaatevatn,6.16444,59.69702,570,Glacial Origin Lake,Norway,20,940,8382.5,5,10.21233/x43j-z193
4042,FLARKTOT,3107,Lake Flarken,13.67319,58.55679,109,Glacial Origin Lake,Sweden,84,217.5,8440.5,14,10.21233/xq55-z804
4092,HIRVILAM,3145,Hirvilampi,24.25122,60.62404,114,Natural Lake,Finland,74,744,8484,6,10.21233/3vvs-zb43
4133,KAAKOTIN,3177,Kaarkotinlampi,25.86881,61.41513,104,Natural Lake,Finland,24,-12.5,8461.5,7,10.21233/mnay-8z91
4136,KANGERJ,3180,Kangerjoki,28.99524,66.12667,288,Soligenous Mire,Finland,22,8.5,8413,8,10.21233/h27c-dp97
4139,KARU,3183,Lake Karujarv,22.2,58.38333,32,Glacial Origin Lake,Estonia,74,561,6994.5,11,10.21233/m5qy-sh73
4141,KASSJON,3185,Kassjön,20.00963,63.92548,84,Glacial Origin Lake,Sweden,78,-31,6323.5,78,10.21233/q5ay-rh67
4200,LGLOPPSJ,3234,Lilla Gloppsjön,14.62333,59.80167,198,Natural Lake,Sweden,68,-20,8304.5,12,10.21233/vpnw-pv89
4203,LIIVJARV,3236,Liivjarve Bog,27.57509,59.30546,46,Bog,Estonia,56,320.5,8460.5,8,10.21233/raph-rb39
4239,MAANSEL,3264,Maanselänsuo,29.61124,65.61709,248,Mire,Finland,19,600.5,8436,5,10.21233/1g98-ct07
45381,MAASV,3265,Lake Maardu,25,59.43333,32,Lacustrine,Estonia,71,50,8347,6,10.21233/45g4-ry85
4259,MAYRA,3279,Mayralampi,26.23393,62.34206,118,Lacustrine,Finland,73,410,8433,6,10.21233/g1np-hb58
4286,MUKKAV,3302,Mukkavaara,21,68.91667,535,Glacial Origin Lake,Finland,45,111,8328,9,10.21233/pvn2-a273
4308,NIGULA,3316,Nigula,24.68735,58.00009,55,Raised Bog,Estonia,57,111,8432,12,10.21233/cr8f-k669
4362,PUNSO,3364,Punso,27.25948,57.68477,183,Lacustrine,Estonia,36,-44,8460,11,10.21233/719p-q753
4369,RAIGASTV,3369,Raigastvere Lake,26.64967,58.59222,52,Lacustrine,Estonia,84,67.5,8455,11,10.21233/20xs-m168
4372,RATTUV,3372,Råttuvarri,20.31667,69.35,100,Natural Lake,Norway,21,147.5,8461,6,10.21233/zqse-ep64
4393,RYONANSU,3389,Ryönänsuo,24.17439,60.43763,70,Raised Bog,Finland,59,301,8388.5,9,10.21233/1csm-st79
4403,SAMBOTOT,3398,Lake Sämbosjön,12.41426,57.16313,35,Drained Lake,Sweden,84,701.5,8456.5,15,10.21233/53ys-nt12
4445,SOLSOE81,3432,Lake Solsø,8.61199,56.12781,41,Drained Lake,Denmark,51,18,8377,30,10.21233/4r4q-0m97
4472,SYRJALAN,3455,Syrjälänsuo,28.11667,61.21667,83,Bog,Finland,59,122.5,8450,8,10.21233/26e5-b250
4497,TUIU,3478,Mire Johvika,22.38803,58.4848,32,Mire,Estonia,23,273.5,8009,6,10.21233/zcst-x145
4531,WEST,3505,Mire Pelisoo,22.38333,58.46667,33,Raised Bog,Estonia,45,219,8216.5,6,10.21233/h1sz-c208
4539,YLIMYSNE,3513,Ylimysneva,22.86667,62.13333,172,Bog,Finland,46,-22,8462.5,5,10.21233/yeg0-6p54
19909,KLOT,13336,Klotjärnen,16.40472,61.82125,235,Natural Lake,Sweden,99,439,8393.5,6,10.21233/6bhj-jv09
19913,ABBO,13338,Abborrtjärnen,14.45,63.88333,387,Lacustrine,Sweden,96,7,8448.5,7,10.21233/2vzb-bg61
20012,DONVOLD,13381,Donvold,13.58333,68.13333,10,Bog,Norway,45,39,8361,7,10.21233/057s-wr75
20018,FLAFATTJ,13383,Lake Flåfattjønna,10.39435,62.33017,1115,Lacustrine,Norway,58,-30,8440.5,8,10.21233/g7c8-hk59
20034,DALMUT,13388,Dalmutladdo,20.71667,69.16667,355,Glacial Origin Lake,Norway,57,377,8394,8,10.21233/c8mz-0061
20046,BRURSKAR,13391,Brurskardtjørni,8.66667,61.41667,1309,Glacial Origin Lake,Norway,50,0,8370,7,10.21233/td9p-m745
20050,OYKJA,13392,Vestre Øykjamyrtjørn,6,59.81667,570,Glacial Origin Lake,Norway,59,-51,8499,12,10.21233/c7eh-we69
20279,CAPPESJA,13476,Liten Cap’pesjav’ri,25.36415,71.07382,41,Glacial Origin Lake,Norway,46,237,8338,15,10.21233/d73q-6954
20285,GUNNARS,13478,Over Gunnarsfjorden,28.16545,71.03753,78,Glacial Origin Lake,Norway,96,171.5,8367,20,10.21233/8s7z-k891
20293,KOBBKROK,13481,Over Kobbkrokvatnet,29.29295,70.6989,51,Glacial Origin Lake,Norway,51,547,8353,18,10.21233/snyf-b526
21790,HOLT,14040,Holtjärnen,14.92555,60.65141,232,Glacial Origin Lake,Sweden,83,-46,8335,7,10.21233/bsv3-k317
24110,MABO,15711,Mabo Moss,16.05602,58.02114,117,Raised Bog,Sweden,88,418.5,8489,17,10.21233/sq7c-9a90
24155,TSUOLJVR,15733,Lake Tsuolbmajavri,22.05346,68.68811,526,Natural Lake,Finland,123,29,8456,14,10.21233/3hey-1169
41764,SKAIDJVR,24041,Lake Skaidejavri,27.83997,70.0476,183,Glacial Origin Lake,Finland,89,-36,8427,6,10.21233/fka8-9069
44941,KILOMYR,25998,Myrvatnet,16.37673,68.6586,197,Glacial Origin Lake,Norway,52,-27,8299,7,10.21233/phqc-me73
45312,VUOLEPAL,26118,Vuolep Allasasjaure,18.16667,68.16667,995,Lacustrine,Sweden,74,16,8410,5,10.21233/c1g1-cw06
45329,OTTMOR,26123,Morttjern,11.61778,59.05972,227,Natural Lake,Norway,46,-23,8480,9,10.21233/bkyg-et47
45343,OTTSVA,26125,Svartvatnet,8.87778,63.35139,183,Natural Lake,Norway,47,-27,8389.5,11,10.21233/4k7v-pp08
